Tamaño: 319,000 elementos | Tiempo: 104.200 ms
Tamaño: 320,000 elementos | Tiempo: 104.500 ms
Tamaño: 321,000 elementos | Tiempo: 108.600 ms
Tamaño: 322,000 elementos | Tiempo: 112.100 ms
Tamaño: 323,000 elementos | Tiempo: 107.100 ms
Tamaño: 324,000 elementos | Tiempo: 105.300 ms
Tamaño: 325,000 elementos | Tiempo: 106.300 ms
Tamaño: 326,000 elementos | Tiempo: 106.900 ms
Tamaño: 327,000 elementos | Tiempo: 107.100 ms
Tamaño: 328,000 elementos | Tiempo: 108.300 ms
Tamaño: 329,000 elementos | Tiempo: 108.000 ms
Tamaño: 330,000 elementos | Tiempo: 106.800 ms
Tamaño: 331,000 elementos | Tiempo: 106.200 ms
Tamaño: 332,000 elementos | Tiempo: 109.000 ms
Tamaño: 333,000 elementos | Tiempo: 111.000 ms
Tamaño: 334,000 elementos | Tiempo: 110.300 ms
Tamaño: 335,000 elementos | Tiempo: 110.000 ms
Tamaño: 336,000 elementos | Tiempo: 112.300 ms
Tamaño: 337,000 elementos | Tiempo: 111.100 ms
Tamaño: 338,000 elementos | Tiempo: 116.100 ms
Tamaño: 339,000 elementos | Tiempo: 108.800 ms
Tamaño: 340,000 elementos | Tiempo: 110.600 ms
Tamaño: 341,000 elementos | Tiempo: 110.800 ms
Tamaño: 342,000 elementos | Tiempo: 111.800 ms
Tamaño: 343,000 elementos | Tiempo: 113.900 ms
Tamaño: 344,000 elementos | Tiempo: 113.000 ms
Tamaño: 345,000 elementos | Tiempo: 113.500 ms
Tamaño: 346,000 elementos | Tiempo: 113.900 ms
Tamaño: 347,000 elementos | Tiempo: 116.600 ms
Tamaño: 348,000 elementos | Tiempo: 114.600 ms
Tamaño: 349,000 elementos | Tiempo: 113.800 ms
Tamaño: 350,000 elementos | Tiempo: 131.100 ms
Tamaño: 351,000 elementos | Tiempo: 115.600 ms
Tamaño: 352,000 elementos | Tiempo: 116.300 ms
Tamaño: 353,000 elementos | Tiempo: 116.600 ms
Tamaño: 354,000 elementos | Tiempo: 115.900 ms
Tamaño: 355,000 elementos | Tiempo: 123.700 ms
Tamaño: 356,000 elementos | Tiempo: 117.800 ms
Tamaño: 357,000 elementos | Tiempo: 116.800 ms
Tamaño: 358,000 elementos | Tiempo: 118.700 ms
Tamaño: 359,000 elementos | Tiempo: 118.800 ms
Tamaño: 360,000 elementos | Tiempo: 120.700 ms
Tamaño: 361,000 elementos | Tiempo: 120.500 ms
Tamaño: 362,000 elementos | Tiempo: 119.100 ms
Tamaño: 363,000 elementos | Tiempo: 121.500 ms
Tamaño: 364,000 elementos | Tiempo: 122.600 ms
Tamaño: 365,000 elementos | Tiempo: 121.400 ms
Tamaño: 366,000 elementos | Tiempo: 124.600 ms
Tamaño: 367,000 elementos | Tiempo: 122.900 ms
Tamaño: 368,000 elementos | Tiempo: 121.400 ms
